image,lambda,alpha,true0est0,true1est1,true0est1,true1est0,total,F
1.0,1.3666666666666667,0.04,840.0,12.0,0.0,18.0,870.0,0.6846846846846847
1.0,1.3666666666666667,0.045000000000000005,840.0,13.0,0.0,17.0,870.0,0.6964285714285715
1.0,1.3666666666666667,0.05,840.0,12.0,0.0,18.0,870.0,0.6846846846846847
1.0,1.5777777777777777,0.005,840.0,27.0,0.0,3.0,870.0,0.9261744966442953
1.0,1.5777777777777777,0.01,840.0,21.0,0.0,9.0,870.0,0.8854961832061068
1.0,1.5777777777777777,0.015000000000000001,840.0,18.0,0.0,12.0,870.0,0.8412698412698413
1.0,1.5777777777777777,0.02,840.0,18.0,0.0,12.0,870.0,0.832
1.0,1.5777777777777777,0.025,840.0,14.0,0.0,16.0,870.0,0.7079646017699115
1.0,1.5777777777777777,0.030000000000000002,840.0,12.0,0.0,18.0,870.0,0.6846846846846847
1.0,1.5777777777777777,0.035,840.0,12.0,0.0,18.0,870.0,0.6846846846846847
1.0,1.5777777777777777,0.04,840.0,12.0,0.0,18.0,870.0,0.6846846846846847
1.0,1.5777777777777777,0.045000000000000005,840.0,12.0,0.0,18.0,870.0,0.6846846846846847
1.0,1.5777777777777777,0.05,840.0,12.0,0.0,18.0,870.0,0.6846846846846847
1.0,1.7888888888888888,0.005,838.0,27.0,2.0,3.0,870.0,0.8414634146341463
1.0,1.7888888888888888,0.01,840.0,21.0,0.0,9.0,870.0,0.8854961832061068
1.0,1.7888888888888888,0.015000000000000001,840.0,18.0,0.0,12.0,870.0,0.8503937007874016
1.0,1.7888888888888888,0.02,840.0,18.0,0.0,12.0,870.0,0.8130081300813007
1.0,1.7888888888888888,0.025,840.0,13.0,0.0,17.0,870.0,0.6964285714285715
1.0,1.7888888888888888,0.030000000000000002,840.0,12.0,0.0,18.0,870.0,0.6846846846846847
1.0,1.7888888888888888,0.035,840.0,12.0,0.0,18.0,870.0,0.6846846846846847
1.0,1.7888888888888888,0.04,840.0,12.0,0.0,18.0,870.0,0.6846846846846847
1.0,1.7888888888888888,0.045000000000000005,840.0,12.0,0.0,18.0,870.0,0.6846846846846847
1.0,1.7888888888888888,0.05,840.0,12.0,0.0,18.0,870.0,0.6846846846846847
1.0,2.0,0.005,832.0,24.0,8.0,6.0,870.0,0.6947368421052632
1.0,2.0,0.01,840.0,20.0,0.0,10.0,870.0,0.8769230769230769
1.0,2.0,0.015000000000000001,840.0,18.0,0.0,12.0,870.0,0.8503937007874016
1.0,2.0,0.02,840.0,18.0,0.0,12.0,870.0,0.7833333333333334
1.0,2.0,0.025,840.0,13.0,0.0,17.0,870.0,0.6964285714285715
1.0,2.0,0.030000000000000002,840.0,12.0,0.0,18.0,870.0,0.6846846846846847
1.0,2.0,0.035,840.0,12.0,0.0,18.0,870.0,0.6846846846846847
1.0,2.0,0.04,840.0,12.0,0.0,18.0,870.0,0.6846846846846847
1.0,2.0,0.045000000000000005,840.0,12.0,0.0,18.0,870.0,0.6846846846846847
1.0,2.0,0.05,840.0,12.0,0.0,18.0,870.0,0.6846846846846847
2.0,0.1,0.005,822.0,0.0,0.0,48.0,870.0,0.0
2.0,0.1,0.01,822.0,0.0,0.0,48.0,870.0,0.0
2.0,0.1,0.015000000000000001,822.0,0.0,0.0,48.0,870.0,0.0
2.0,0.1,0.02,822.0,0.0,0.0,48.0,870.0,0.0
2.0,0.1,0.025,822.0,0.0,0.0,48.0,870.0,0.0
2.0,0.1,0.030000000000000002,822.0,0.0,0.0,48.0,870.0,0.0
2.0,0.1,0.035,822.0,0.0,0.0,48.0,870.0,0.0
2.0,0.1,0.04,822.0,0.0,0.0,48.0,870.0,0.0
2.0,0.1,0.045000000000000005,822.0,0.0,0.0,48.0,870.0,0.0
2.0,0.1,0.05,822.0,0.0,0.0,48.0,870.0,0.0
2.0,0.3111111111111111,0.005,822.0,14.0,0.0,34.0,870.0,0.6333333333333334
2.0,0.3111111111111111,0.01,822.0,12.0,0.0,36.0,870.0,0.5486725663716815
2.0,0.3111111111111111,0.015000000000000001,822.0,2.0,0.0,46.0,870.0,0.15730337078651685
2.0,0.3111111111111111,0.02,822.0,0.0,0.0,48.0,870.0,0.0
2.0,0.3111111111111111,0.025,822.0,0.0,0.0,48.0,870.0,0.0
2.0,0.3111111111111111,0.030000000000000002,822.0,0.0,0.0,48.0,870.0,0.0
2.0,0.3111111111111111,0.035,822.0,0.0,0.0,48.0,870.0,0.0
2.0,0.3111111111111111,0.04,822.0,0.0,0.0,48.0,870.0,0.0
2.0,0.3111111111111111,0.045000000000000005,822.0,0.0,0.0,48.0,870.0,0.0
2.0,0.3111111111111111,0.05,822.0,0.0,0.0,48.0,870.0,0.0
2.0,0.5222222222222221,0.005,822.0,29.0,0.0,19.0,870.0,0.8201438848920863
2.0,0.5222222222222221,0.01,822.0,14.0,0.0,34.0,870.0,0.6446280991735537
2.0,0.5222222222222221,0.015000000000000001,822.0,12.0,0.0,36.0,870.0,0.6101694915254238
2.0,0.5222222222222221,0.02,822.0,12.0,0.0,36.0,870.0,0.6101694915254238
2.0,0.5222222222222221,0.025,822.0,10.0,0.0,38.0,870.0,0.5225225225225225
2.0,0.5222222222222221,0.030000000000000002,822.0,6.0,0.0,42.0,870.0,0.326530612244898
2.0,0.5222222222222221,0.035,822.0,3.0,0.0,45.0,870.0,0.1978021978021978
2.0,0.5222222222222221,0.04,822.0,2.0,0.0,46.0,870.0,0.11494252873563218
2.0,0.5222222222222221,0.045000000000000005,822.0,0.0,0.0,48.0,870.0,0.0
2.0,0.5222222222222221,0.05,822.0,0.0,0.0,48.0,870.0,0.0
2.0,0.7333333333333333,0.005,822.0,37.0,0.0,11.0,870.0,0.8993288590604027
2.0,0.7333333333333333,0.01,822.0,28.0,0.0,20.0,870.0,0.8029197080291971
2.0,0.7333333333333333,0.015000000000000001,822.0,15.0,0.0,33.0,870.0,0.6557377049180327
2.0,0.7333333333333333,0.02,822.0,13.0,0.0,35.0,870.0,0.6218487394957983
2.0,0.7333333333333333,0.025,822.0,12.0,0.0,36.0,870.0,0.6101694915254238
2.0,0.7333333333333333,0.030000000000000002,822.0,12.0,0.0,36.0,870.0,0.6101694915254238
2.0,0.7333333333333333,0.035,822.0,12.0,0.0,36.0,870.0,0.5982905982905983
2.0,0.7333333333333333,0.04,822.0,12.0,0.0,36.0,870.0,0.6101694915254238
2.0,0.7333333333333333,0.045000000000000005,822.0,11.0,0.0,37.0,870.0,0.5862068965517241
2.0,0.7333333333333333,0.05,822.0,11.0,0.0,37.0,870.0,0.5739130434782609
2.0,0.9444444444444444,0.005,822.0,38.0,0.0,10.0,870.0,0.9139072847682119
2.0,0.9444444444444444,0.01,822.0,32.0,0.0,16.0,870.0,0.8450704225352113
2.0,0.9444444444444444,0.015000000000000001,822.0,23.0,0.0,25.0,870.0,0.7286821705426356
2.0,0.9444444444444444,0.02,822.0,20.0,0.0,28.0,870.0,0.6984126984126985
2.0,0.9444444444444444,0.025,822.0,13.0,0.0,35.0,870.0,0.6218487394957983
2.0,0.9444444444444444,0.030000000000000002,822.0,13.0,0.0,35.0,870.0,0.6218487394957983
2.0,0.9444444444444444,0.035,822.0,12.0,0.0,36.0,870.0,0.6101694915254238
2.0,0.9444444444444444,0.04,822.0,12.0,0.0,36.0,870.0,0.6101694915254238
2.0,0.9444444444444444,0.045000000000000005,822.0,12.0,0.0,36.0,870.0,0.6101694915254238
2.0,0.9444444444444444,0.05,822.0,10.0,0.0,38.0,870.0,0.5486725663716815
2.0,1.1555555555555557,0.005,822.0,43.0,0.0,5.0,870.0,0.9487179487179488
2.0,1.1555555555555557,0.01,822.0,32.0,0.0,16.0,870.0,0.8450704225352113
2.0,1.1555555555555557,0.015000000000000001,822.0,32.0,0.0,16.0,870.0,0.8450704225352113
2.0,1.1555555555555557,0.02,822.0,21.0,0.0,27.0,870.0,0.7086614173228347
2.0,1.1555555555555557,0.025,822.0,22.0,0.0,26.0,870.0,0.71875
2.0,1.1555555555555557,0.030000000000000002,822.0,17.0,0.0,31.0,870.0,0.6666666666666666
2.0,1.1555555555555557,0.035,822.0,13.0,0.0,35.0,870.0,0.6218487394957983
2.0,1.1555555555555557,0.04,822.0,13.0,0.0,35.0,870.0,0.6218487394957983
2.0,1.1555555555555557,0.045000000000000005,822.0,12.0,0.0,36.0,870.0,0.6101694915254238
2.0,1.1555555555555557,0.05,821.0,12.0,1.0,36.0,870.0,0.5932203389830508
2.0,1.3666666666666667,0.005,822.0,42.0,0.0,6.0,870.0,0.9419354838709678
2.0,1.3666666666666667,0.01,822.0,30.0,0.0,18.0,870.0,0.8285714285714285
2.0,1.3666666666666667,0.015000000000000001,822.0,31.0,0.0,17.0,870.0,0.8368794326241135
2.0,1.3666666666666667,0.02,822.0,24.0,0.0,24.0,870.0,0.7384615384615384
2.0,1.3666666666666667,0.025,822.0,22.0,0.0,26.0,870.0,0.71875
2.0,1.3666666666666667,0.030000000000000002,822.0,21.0,0.0,27.0,870.0,0.7086614173228347
2.0,1.3666666666666667,0.035,822.0,22.0,0.0,26.0,870.0,0.71875
2.0,1.3666666666666667,0.04,822.0,16.0,0.0,32.0,870.0,0.6557377049180327
2.0,1.3666666666666667,0.045000000000000005,822.0,14.0,0.0,34.0,870.0,0.6333333333333334
2.0,1.3666666666666667,0.05,822.0,13.0,0.0,35.0,870.0,0.6218487394957983
2.0,1.5777777777777777,0.005,822.0,42.0,0.0,6.0,870.0,0.9419354838709678
2.0,1.5777777777777777,0.01,822.0,32.0,0.0,16.0,870.0,0.8450704225352113
2.0,1.5777777777777777,0.015000000000000001,822.0,32.0,0.0,16.0,870.0,0.8450704225352113
2.0,1.5777777777777777,0.02,822.0,30.0,0.0,18.0,870.0,0.8115942028985507
2.0,1.5777777777777777,0.025,822.0,22.0,0.0,26.0,870.0,0.71875
2.0,1.5777777777777777,0.030000000000000002,822.0,22.0,0.0,26.0,870.0,0.71875
2.0,1.5777777777777777,0.035,822.0,22.0,0.0,26.0,870.0,0.71875
2.0,1.5777777777777777,0.04,822.0,22.0,0.0,26.0,870.0,0.71875
